nom,commune1,anneelivraison
Boulevard des Tchécoslovaques,Lyon 8e Arrondissement,2020
Berges du Rhône,Lyon 7e Arrondissement,0
Place Antoine Poncet Sud,Lyon 2e Arrondissement,2022
Boulevard Niels Bohr,Villeurbanne,2021
"Cours Emile Zola, de la Rue Baudin à la Rue de l'Egalité",Villeurbanne,2023
Avenue Général Eisenhower,Lyon 5e Arrondissement,2021
Rue Carnot,Bron,2022
Avenue Debrousse,Lyon 5e Arrondissement,2021
Boulevard des Droits de l'Homme,Bron,2020
Chemin de Halage,Décines-Charpieu,2014
Promenade Parc de Méribel,Vaulx-en-Velin,0
Avenue Cabias,Lyon 4e Arrondissement,2017
Chemin de Halage,Meyzieu,2015
Antoine de Saint-Exupéry,Lyon 2e Arrondissement,2022
Rue des Prolières,Fontaines-Saint-Martin,2021
Avenue Jean Estragnat,Grigny,0
Place du Marché,Lyon 9e Arrondissement,2014
Boulevard des Expositions,Saint-Priest,2015
Carrefour des Sept Chemins,Chassieu,2021
Boulevard Pinel,Bron,2019
Berges du Rhône,Lyon 7e Arrondissement,0
Avenue du 19 Mars 1962,Grigny,0
Voie Romaine,Craponne,2011
Avenue Jacques Brel,Saint-Germain-au-Mont-d'Or,0
Avenue de la Constellation,Tassin-la-Demi-Lune,2013
Rue Paul Cazeneuve,Lyon 8e Arrondissement,2012
Rue Audibert et Lavirotte,Lyon 8e Arrondissement,2020
Avenue Rockefeller,Lyon 8e Arrondissement,0
Rue du Chêne,Bron,2012
Quai Charles de Gaulle,Lyon 6e Arrondissement,2020
Quai Fulchiron,Lyon 5e Arrondissement,2019
Cours Lafayette,Lyon 3e Arrondissement,2018
Route de Vénissieux,Feyzin,2018
Esplanade du Grand Large,Décines-Charpieu,0
Boulevard Niels Bohr,Villeurbanne,2021
Quai de la Jonchère,Collonges-au-Mont-d'Or,2020
Quai Charles de Gaulle,Villeurbanne,2020
Rue Louis Becker,Villeurbanne,2022
Rue Galland,Lyon 7e Arrondissement,2019
Rue de la République,Vaulx-en-Velin,2021
Avenue Jean Mermoz,Chassieu,2020
Route de Lyon,Saint-Priest,0
Avenue de la Libération,Sainte-Foy-lès-Lyon,2020
Route de Vienne,Vénissieux,2015
Cours Vitton,Lyon 6e Arrondissement,2019
Route de Trévoux,Genay,2021
Rue d'Yvours,Irigny,0
Rue du 4 Août 1789,Villeurbanne,2011
Chemin de halage,Villeurbanne,2011
Route de Mions,Saint-Priest,0
Avenue Carnot,Neuville-sur-Saône,2009
Rue Danton,Saint-Priest,0
Avenue de Grande Bretagne,Lyon 6e Arrondissement,2020
Boulevard Marius Vivier Merle,Lyon 3e Arrondissement,2018
Rue Henri Gourjus,Lyon 4e Arrondissement,2017
Rue Louis Becker,Villeurbanne,2011
Place Pasteur,Vaulx-en-Velin,2021
Avenue d'Oschatz,Vénissieux,2009
Route des Collonges,Saint-Romain-au-Mont-d'Or,2021
Avenue Marcel Cachin,Vénissieux,2022
Anneau bleu,Villeurbanne,2011
Boulevard de l'Europe,Pierre-Bénite,0
Parc de la Feyssine,Villeurbanne,2005
Rue Professeur Beauvisage,Lyon 8e Arrondissement,2019
Rue Jean Bouin,Lyon 7e Arrondissement,2011
Route de Strasbourg,Rillieux-la-Pape,2020
Voie verte Rillieux,Rillieux-la-Pape,2005
Avenue du Boutarey,Sathonay-Camp,0
Voie de la Dombes,Caluire-et-Cuire,1996
Boulevard Urbain Est,Vénissieux,2014
Berges du Rhône,Caluire-et-Cuire,2006
Quai Eugène Souchon,Givors,2018
Chemin du Lortaret,Saint-Priest,2018
Boulevard des Canuts,Lyon 4e Arrondissement,2014
Rue du Dauphiné,Saint-Priest,0
Quai du Docteur Gailleton,Lyon 2e Arrondissement,2020
Rue Tramassac,Lyon 5e Arrondissement,2017
Boulevard Irène Joliot Curie,Vénissieux,2009
Route de Jonage,Décines-Charpieu,2021
Rue Marcel Merieux et accès pôle agro-alimentaire,Corbas,2008
Chemin de Halage,Vaulx-en-Velin,2014
Route de Corbas,Vénissieux,2014
Rue du Vieux Port,Irigny,0
LEA,Vaulx-en-Velin,2006
Avenue  Georges Clémenceau,Saint-Genis-Laval,2003
Avenue de Lanessan,Lyon 9e Arrondissement,2020
Rue Edmond Locard,Oullins,2013
Avenue Henri barbusse,Albigny-sur-Saône,0
Avenue de Verdun,Meyzieu,2016
Rue du Progrès,Saint-Priest,2008
Boulevard du 11 Novembre 1918,Villeurbanne,2020
Carrefour Garibaldi/BUE,Vaulx-en-Velin,2015
Avenue Jean Cagne,Vénissieux,2009
Avenue Maréchal Foch,Saint-Genis-Laval,2004
Quai Pierre Scize,Lyon 9e Arrondissement,2005
Avenue de Ménival,Lyon 5e Arrondissement,2013
Avenue Georges Clémenceau,Saint-Genis-Laval,2003
Avenue Gabriel Peri,Corbas,0
Boulevard Chambaud de la Bruyère,Lyon 7e Arrondissement,2012
Boulevard Jean Mermoz,Corbas,2019
Pont de Cusset,Villeurbanne,2019
Chemin du Bois D'Ars,Limonest,2018
Rue de Venise - Rue Chambfort,Villeurbanne,2003
Boulevard Marcel Sembat,Vénissieux,2010
Allée Achille Lignon,Lyon 6e Arrondissement,2006
Route Départementale 306,Lissieu,2018
Route Départementale 51,Quincieux,0
Allée du Fontanil,Vaulx-en-Velin,0
Berges du Rhône,Lyon 7e Arrondissement,0
Route de Villefranche,Curis-au-Mont-d'Or,0
Grande rue de la Guillotière,Lyon 7e Arrondissement,2020
Boulevard Pinel,Lyon 8e Arrondissement,2019
Boulevard Urbain Est,Vénissieux,2012
Rond-Point,Rillieux-la-Pape,0
Rue Professeur Marcel Dargent,Lyon 8e Arrondissement,2018
Bd Ambroise Croizat,Vénissieux,2009
Route Départementale 51,Quincieux,0
Avenue Paul Santy,Lyon 8e Arrondissement,2016
Route de Grenoble,Saint-Priest,2015
Rue du Docteur Jean Long,Feyzin,2015
LEA,Meyzieu,2009
Rd-point Peri/Savoie/Blanche,Corbas,0
Parc de Lacroix-Laval,Marcy-l'Étoile,2017
Rue du Bacon,Montanay,2019
Rue Claude Monet,Décines-Charpieu,0
Berges du Rhône,Lyon 7e Arrondissement,2007
Avenue Albert Einstein,Villeurbanne,0
Chemin des Mûriers,Irigny,2014
Rue de Saint-Cyr,Lyon 9e Arrondissement,2019
Chemin de Choulans,Lyon 5e Arrondissement,2021
Route de Vienne,Feyzin,2005
Berges du Rhône,Lyon 6e Arrondissement,0
Chemin des Balmes,Bron,2006
Chemin de Feyzin,Vénissieux,2018
Boulevard Ambroise Croizat,Vénissieux,2016
Boulevard des Castors,Lyon 5e Arrondissement,0
Rue Pierre Termier,Lyon 9e Arrondissement,2020
Avenue François Mitterrand,Bron,2012
Avenue de la Première Division Française Libre,Lyon 5e Arrondissement,2021
Boulevard Marius Vivier Merle,Lyon 3e Arrondissement,2021
Boulevard Vivier Merle,Lyon 3e Arrondissement,2010
Chemin de Choulans,Lyon 5e Arrondissement,2019
Route départementale 306,Quincieux,2015
Boulevard Vivier Merle,Lyon 3e Arrondissement,2015
Boulevard Pierre Sémard,Saint-Fons,2012
Route de Genas,Vaulx-en-Velin,2016
Allée du Parc de Saint Clair,Caluire-et-Cuire,2006
Rue du Chêne prolongée,Chassieu,0
Promenade du Biézin,Chassieu,2015
Avenue 25ème Régiment des Tirailleurs Sénégalais,Lyon 9e Arrondissement,2020
Quai Arloing,Lyon 9e Arrondissement,2013
Promenade du Biézin,Chassieu,2015
Rue Léon Bourgeois,Bron,2014
Petite Rue des Collonges,Saint-Genis-Laval,2015
Chemin du Grand Bois,Tassin-la-Demi-Lune,2001
Chemin de la Mouche,Saint-Genis-Laval,2005
Rond-point Bd de l'Europe,Pierre-Bénite,0
Cours Charlemagne,Lyon 2e Arrondissement,2013
Rue Jules Ferry,Saint-Priest,2009
Boulevard de l'Europe,Pierre-Bénite,0
Chemin de Serin à la Croix-Rousse,Lyon 4e Arrondissement,2015
Cours Charlemagne,Lyon 2e Arrondissement,2013
Route de Grenoble,,2015
Rue Jean Collet,Meyzieu,2012
Quai de Charézieux,Saint-Romain-au-Mont-d'Or,2020
Rue de l'Egalité,Saint-Priest,2001
Rue Professeur Beauvisage,Lyon 8e Arrondissement,2019
Rue du Canal,Villeurbanne,2017
Passage du Capitaine Haddock,Meyzieu,2019
Avenue Jean Bergeron,Tassin-la-Demi-Lune,2019
Rue Dangon,Lyon 4e Arrondissement,2017
Avenue de l'Aqueduc de Beaunant,Oullins,2021
Avenue Henri Barbusse,Albigny-sur-Saône,0
Parallèle BUS,Feyzin,0
Avenue de Verdun,Meyzieu,2021
Avenue du Général Brosset,Tassin-la-Demi-Lune,2013
Avenue de Verdun,Meyzieu,2021
Avenue du Général de Gaulle,Bron,2011
Quai Romain Rolland - Bondy,Lyon 5e Arrondissement,2016
Avenue Gabriel Peri,Corbas,0
Rond-point de la Feyssine,Villeurbanne,0
Avenue Jean Mermoz,Lyon 8e Arrondissement,2019
Pont de la Soie,Vaulx-en-Velin,2015
Avenue Salvador Allende,Vaulx-en-Velin,2011
Quai d'Illhaeusern,Collonges-au-Mont-d'Or,2020
Rue du Canal,Villeurbanne,2010
Pont Pierre-Bénite,Pierre-Bénite,0
Quai Georges Lévy,Givors,2010
Rue Léon Blum,Feyzin,2019
LEA,Décines-Charpieu,2006
Quai Charles de Gaulle,Lyon 6e Arrondissement,2020
Avenue Marcel Houel,Vénissieux,2009
Rue du Lyonnais,Saint-Priest,2022
Avenue du Chater,Francheville,2020
Chemin de la Croix,Rillieux-la-Pape,2020
Boulevard des Tchécoslovaques,Lyon 8e Arrondissement,2020
Rue Pierre Brunier,Caluire-et-Cuire,2021
Boulevard du Valvert,Tassin-la-Demi-Lune,0
Route départementale 51,Quincieux,0
Rue Jean Jaurès,Villeurbanne,2017
Boulevard de Montcelard,Tassin-la-Demi-Lune,0
Avenue Maréchal Foch,Saint-Genis-Laval,2004
Chemin de Halage,Meyzieu,2015
Chemin de Feyzin,Vénissieux,2019
Avenue de Verdun,Meyzieu,2009
Rue Emile Decorps,Villeurbanne,2019
Quai Saint Antoine,Lyon 2e Arrondissement,2021
Rue Joliot Curie,Tassin-la-Demi-Lune,2011
Avenue Maréchal Foch,Sainte-Foy-lès-Lyon,0
Boulevard de l'Europe,Pierre-Bénite,0
RD306,Limonest,2020
Rue Dugay Trouin,Meyzieu,2014
Anneau Bleu,Décines-Charpieu,2010
Route de Genève,Rillieux-la-Pape,2006
Avenue Jean Jaurès,Décines-Charpieu,0
Paul Marcellin centre,Vaulx-en-Velin,2004
Montée du Chemin Neuf,Lyon 5e Arrondissement,2020
Route de Sain Bel,Tassin-la-Demi-Lune,2001
Montée de la Côte Rivière,Fontaines-Saint-Martin,2018
Avenue Bergeron,Charbonnières-les-Bains,2019
Boulevard des Etats-Unis,Lyon 8e Arrondissement,2009
Quai Jaÿr,Lyon 9e Arrondissement,2018
Avenue François Mitterand,Bron,2012
Avenue Franklin Roosevelt,Bron,0
Avenue de Limburg,Sainte-Foy-lès-Lyon,2019
Boulevard de la Porte des Alpes,Saint-Priest,2014
Rue Mangetemps,Mions,2011
Rue du 8 Mai 1945,Villeurbanne,2019
Avenue Général Leclerc,Caluire-et-Cuire,2011
Boulevard Chambaud de la bruyère,Lyon 7e Arrondissement,2012
Route de Grenoble,Saint-Priest,0
Avenue de Lanessan,Champagne-au-Mont-d'Or,2020
Promenade de l'Epie,Décines-Charpieu,2012
Cours Gambetta,Lyon 3e Arrondissement,2017
Avenue Marcel Mérieux,Saint-Genis-les-Ollières,2020
Boulevard Irène Joliot-Curie,Vénissieux,2009
Rue Stéphane Déchant,La Mulatière,2020
Anneau Bleu,Jonage,2010
Avenue des Tilleuls,Mions,2020
Quai St Vincent,Lyon 1er Arrondissement,2020
Avenue Tony Garnier,Lyon 7e Arrondissement,0
Avenue de Corbetta,Corbas,0
Route de Reyrieux,Genay,2022
Rond-point des droits de l'Homme,Saint-Priest,2001
Chemin du Velin,Jonage,2009
Avenue des Alpes,Marcy-l'Étoile,2016
Avenue de l'Hippodrome,Rillieux-la-Pape,2011
Rond-point des Clarisses,Tassin-la-Demi-Lune,2019
Rue Victor Hugo,Oullins,2015
LEA,Lyon 3e Arrondissement,2006
Boulevard Edouard Michelet,Lyon 8e Arrondissement,2019
Rue Danton,Saint-Priest,0
Avenue Louis Armand,Saint-Germain-au-Mont-d'Or,0
Avenue Maréchal Foch,Saint-Genis-Laval,2018
Rue Pierre Fallion,Rillieux-la-Pape,2018
Route de Genas,Bron,2015
Passage France Pejot,Lyon 2e Arrondissement,2021
Mail André Malraux,Décines-Charpieu,2015
Chemin Martel,Meyzieu,2010
Rue de la République,Saint-Romain-au-Mont-d'Or,2021
Avenue de Corbetta,Corbas,0
Rue Duquesne,Lyon 6e Arrondissement,2020
Avenue Pierre de Coubertin,Villeurbanne,2020
Avenue Félix Faure,Lyon 3e Arrondissement,2012
Rue des Biesses,Jonage,2019
Chemin des Esses,Saint-Didier-au-Mont-d'Or,2022
Place Albert Thomas,Villeurbanne,2018
Boulevard Pinel,Lyon 8e Arrondissement,2021
Rue Viala,Lyon 3e Arrondissement,2011
Avenue Jean Moulin,Grigny,2018
RD306,Limonest,2020
Avenue Carnot,Sathonay-Camp,2015
Route d'Heyrieux,Mions,2007
Avenue de Champagne,Lyon 9e Arrondissement,2020
Boulevard des Tchécoslovaques,Lyon 8e Arrondissement,2020
Allée du Grand Camp,Lyon 6e Arrondissement,2009
Cours Suchet,Lyon 2e Arrondissement,2018
Boulevard Vivier Merle,Lyon 3e Arrondissement,2021
LEA,Villeurbanne,2006
Rue du 23 août 1944,Mions,0
Avenue Pierre Mendès France,Rillieux-la-Pape,2011
Avenue Jean Jaurès,Lyon 7e Arrondissement,2011
Rue Sergent Michel Berthet (sud),Lyon 9e Arrondissement,2009
Avenue Gaston Monmousseau,Vaulx-en-Velin,0
Avenue du 19 Mars 1962,Grigny,0
Boulevard des Turfistes,Vénissieux,0
Avenue Paul Marcellin,Vaulx-en-Velin,2004
Rue Colin,Villeurbanne,2015
Route de Strasbourg,Rillieux-la-Pape,2020
Rue du Rhône,Solaize,2018
Rue du 4 Août 1789,Villeurbanne,2012
Rue Jean Sellier,Grigny,2014
Cours Aristide Briand,Caluire-et-Cuire,2009
Avenue Gabriel Péri,Corbas,2020
Route de Corbas,Vénissieux,2014
Boulevard de la jeunesse,Vénissieux,0
Quai Tilsitt,Lyon 2e Arrondissement,2009
Avenue Pierre Mendès France,Bron,0
Rue Claude Baudrand,Caluire-et-Cuire,2014
Avenue Félix Faure,Lyon 7e Arrondissement,2012
Cours Emile Zola,Villeurbanne,2016
Route de Lyon,Vernaison,2008
Place Chazette,Lyon 1er Arrondissement,2013
Avenue Henri Barbusse,Albigny-sur-Saône,0
Avenue Carnot,Neuville-sur-Saône,2009
Place Jules Ferry,Lyon 6e Arrondissement,2018
Place Jules Grandclément,Vénissieux,2012
Avenue Rockefeller,Lyon 8e Arrondissement,0
Rue Danton,Saint-Priest,0
Chemin de la plage,Rochetaillée-sur-Saône,2013
Route de chasse,Solaize,0
Avenue François Mitterrand,Bron,2012
Boulevard Louis Pradel,Jonage,2019
Chemin Fauré,Saint-Fons,2016
Rue Léon Blum,Villeurbanne,2018
Avenue Général de Gaulle,Charbonnières-les-Bains,2020
Avenue Anatole France,Givors,0
Avenue Tony Garnier,Lyon 7e Arrondissement,2012
Rue de la Libération,Mions,2018
Estacade sud de la Sucrerie,Vaulx-en-Velin,2011
Ancienne Route Nationale 7,Dardilly,2018
Route de Bellevue,Limonest,2018
Quai Ethel et Julius Rosenberg,Givors,0
Rue Louis Duclos,Vaulx-en-Velin,2014
Allée du Morlet,Vaulx-en-Velin,0
Avenue de Ménival,Lyon 5e Arrondissement,2013
Cours Emile Zola,Villeurbanne,2016
Rond-point de la Mouche,Saint-Genis-Laval,2014
Boulevard de l'Yzeron,Oullins,2018
Rue du Puits Vieux,Saint-Priest,0
Avenue du Chater,Francheville,2018
Rue Emile Decorps,Villeurbanne,2020
Boulevard Laurent Bonnevay,Villeurbanne,0
Cours de la République,Villeurbanne,2022
RD 307,Solaize,2011
Rue de l'Egalité,Saint-Priest,2001
Chemin de Choulans,Lyon 5e Arrondissement,2021
Avenue Charles de Gaulle,Vaulx-en-Velin,2013
Avenue de Grande Bretagne,Lyon 6e Arrondissement,2013
Allée des Allivoz,Meyzieu,2010
Pont Alphonse Juin,Lyon 5e Arrondissement,2013
Avenue Jean Mermoz,Lyon 8e Arrondissement,2019
Rue des Archers,Lyon 2e Arrondissement,2010
Cours Lafayette,Lyon 3e Arrondissement,2019
Avenue de Böhlen,Vaulx-en-Velin,2016
Avenue Maurice Thorez,Vénissieux,2009
Rue Georges Guiard,Vénissieux,2019
Avenue de Lacroix-Laval,Charbonnières-les-Bains,2021
Anneau Bleu,Meyzieu,2010
Route de Saint Priest,Mions,0
Quai Bellevue,Caluire-et-Cuire,2005
Rue Aristide Briand,Neuville-sur-Saône,2019
Rue de Surville,Lyon 8e Arrondissement,2019
Rue du Bourbonnais,Lyon 9e Arrondissement,2014
Rue Saint Antoine,Lyon 3e Arrondissement,2020
Avenue Jules Guesde,Vénissieux,2011
Avenue du Chater,Francheville,2020
Avenue de Verdun,Meyzieu,2011
Avenue Jean Jaurès,Lyon 7e Arrondissement,2020
Rue Edmond Locard,La Mulatière,2013
Rue du 4 Août 1789,Villeurbanne,2012
Allée du Parc de Saint Clair,Caluire-et-Cuire,2006
Boulevard des Etats-Unis,Lyon 8e Arrondissement,2009
Rue Francis de Pressensé,Villeurbanne,2020
Route de Genève,Rillieux-la-Pape,2018
Rue Diday,Lyon 3e Arrondissement,2015
Pont de la Feuillée,Lyon 1er Arrondissement,2008
Montée de la Boucle,Lyon 4e Arrondissement,2022
Rue Bourgchanin,Villeurbanne,2003
Avenue Maréchal Foch,Saint-Genis-Laval,2004
Avenue Debrousse,Lyon 5e Arrondissement,2021
Rue de la Villette (contre-allée),Lyon 3e Arrondissement,2014
Pont de la Guillotière,Lyon 3e Arrondissement,1998
Esplanade du Grand Large,Décines-Charpieu,0
Rue Jean-Marc Bernard,Lyon 3e Arrondissement,2013
Avenue Viviani,Lyon 8e Arrondissement,2016
Rue Charlie Chaplin,Saint-Priest,2018
Route de Vernaison,Irigny,0
Rue du Vieux Port,Irigny,0
Rue de l'Université - Bloch,Lyon 7e Arrondissement,0
Avenue Henri Barbusse,Albigny-sur-Saône,0
Voie Romaine,Tassin-la-Demi-Lune,2011
Route de la Libération,Sainte-Foy-lès-Lyon,2020
Voie Romaine,Craponne,0
Route de Lyon,Feyzin,2021
Rue du Vinatier,Lyon 3e Arrondissement,2019
Rue Paul Bert,Vénissieux,2021
Rue Henri Barbusse,Lyon 8e Arrondissement,2019
Boulevard de la Jeunesse,Vénissieux,0
Rue Mouton Duvernet,Lyon 3e Arrondissement,2007
Rue Albert Camus,Bron,2007
Rue de l'Arbaletière,Lyon 9e Arrondissement,2020
Rue Garibaldi,Lyon 7e Arrondissement,0
Boulevard Charle de Gaulle,Chassieu,0
Rue Pierre Verger,Lyon 8e Arrondissement,2019
Quai Victor Augagneur,Lyon 3e Arrondissement,2017
Avenue des Tarentelles,Chassieu,2021
Rue Centrale,Corbas,2014
Rue Maximilien Robespierre,Givors,2010
Rue des Sports,Vénissieux,0
Rue de la Claire,Lyon 9e Arrondissement,2012
Piste de la Dombes,Fontaines-sur-Saône,0
Cours Charlemagne,Lyon 2e Arrondissement,2016
Rue JB Clément,Villeurbanne,2011
Cours Franklin Roosevelt,Lyon 6e Arrondissement,2020
Avenue Lacassagne,Lyon 3e Arrondissement,2019
Parc de Gerland,Lyon 7e Arrondissement,2015
Allée du Parc Technologique,Saint-Priest,2014
Square Georges Levy,Villeurbanne,2018
Allée du Frère Benoît,Villeurbanne,2003
Anneau Bleu,Meyzieu,2010
Pont de la Feuillée,Lyon 5e Arrondissement,2008
Boulevard Pierre sémard - Pont de Pierre-Bénite,Saint-Fons,0
Rue Marc Bloch,Lyon 7e Arrondissement,2011
Avenue Leclerc,Lyon 7e Arrondissement,2014
Route de Genas,Villeurbanne,2021
Route de Genas,Bron,2021
Avenue Lacassagne,Lyon 3e Arrondissement,2019
Rue de la Villette,Lyon 3e Arrondissement,2006
Quai Rambaud,Lyon 1er Arrondissement,2018
Avenue Guy de Collongue,Écully,2013
Cours Emile Zola,Villeurbanne,2011
Rue Joseph Serlin,Lyon 1er Arrondissement,2010
Place Charles Hernu,Villeurbanne,2020
Avenue du Général De Gaulle,Saint-Priest,2011
Boulevard Pinel,Vénissieux,0
Quai Jayr,Lyon 9e Arrondissement,2017
Quai Perrache,Lyon 2e Arrondissement,2015
Avenue Général Brosset,Tassin-la-Demi-Lune,2011
Avenue Jacques Brel,Saint-Germain-au-Mont-d'Or,0
Boulevard Pinel,Bron,2019
Avenue de Grande Bretagne,Lyon 6e Arrondissement,2018
LEA,Décines-Charpieu,2009
Esplanade du Grand Large,Décines-Charpieu,0
Quai Rambaud,Lyon 2e Arrondissement,2018
Boulevard de la Bataille de Stalingrad,Villeurbanne,2021
Avenue Edmond Locard,Oullins,2013
Rue Chambonnet,Lyon 2e Arrondissement,2011
Rue Anatole France,Saint-Priest,2016
Rue Joannès Raclet,Jonage,2019
Rue Jules Ferry,Grigny,2011
Place Maréchal Lyautey,Lyon 6e Arrondissement,2020
Route de Vernaison,Irigny,0
Avenue Général Brosset,Tassin-la-Demi-Lune,2011
Avenue Georges Pompidou,Saint-Priest,2014
Rue de l'Université,Lyon 7e Arrondissement,2011
Avenue Docteur Schweitzer,Meyzieu,2020
Rue Antoine Lumière,Lyon 8e Arrondissement,2010
Avenue Gabriel Péri,Corbas,0
Berges du Rhône,Caluire-et-Cuire,2006
Boulevard Jean Mermoz,Corbas,2011
Avenue de Birmingham,Lyon 4e Arrondissement,2013
Promenade du Biezin,Chassieu,2017
Rue du Canal,Vaulx-en-Velin,2010
Avenue  d'Oschatz,Vénissieux,2009
Rue Emile Decorps,Villeurbanne,2020
Chemin de Serin à la Croix-Rousse,Lyon 4e Arrondissement,2015
Avenue de la Première Division Française Libre,Lyon 5e Arrondissement,2021
Quai Jules Courmont,Lyon 2e Arrondissement,0
Boulevard du 11 Novembre 1918,Villeurbanne,0
Rue de la Bourse,Lyon 1er Arrondissement,2010
Rue Salomon Reinach,Lyon 7e Arrondissement,2019
Cours du Professeur Jean Bernard,Saint-Priest,2009
Avenue Paul Santy,Lyon 8e Arrondissement,2016
Boulevard Pinel,Vénissieux,0
Boulevard Jules Favre,Lyon 6e Arrondissement,2021
Chemin du Penthod,Caluire-et-Cuire,2014
Boulevard Pinel,Bron,2019
Grande rue de la Guillotière,Lyon 3e Arrondissement,2009
Quai Romain Rolland - Bondy,Lyon 5e Arrondissement,0
Avenue Docteur Schweitzer,Jonage,2020
Avenue Charles de Gaulle,Vénissieux,0
Rue Garibaldi,Lyon 3e Arrondissement,2022
Rue Parmentier,Vénissieux,2014
Avenue Jean Jaurès,Lyon 7e Arrondissement,2010
Parc Blandan,Lyon 7e Arrondissement,0
Pont de la Mulatière,La Mulatière,2020
Avenue des Saules,Oullins,2020
Rue de Bonnel,Lyon 3e Arrondissement,2019
Avenue 25ème Régiment des Tirailleurs Sénégalais,Lyon 9e Arrondissement,2020
Rue Auguste Blanqui,Villeurbanne,2008
Pont Schuman,Lyon 4e Arrondissement,2014
Avenue Dutriévoz,Villeurbanne,0
Avenue de l'Hippodrome,Rillieux-la-Pape,2020
Boulevard de la Jeunesse,Vénissieux,0
Rue de la Part-Dieu,Lyon 3e Arrondissement,2005
Chemin de Charpieu à Chassieu,Décines-Charpieu,2015
Avenue Youri Gagarine,Givors,2011
Boulevard des Canuts,Caluire-et-Cuire,2003
Quai Perrache,Lyon 2e Arrondissement,2021
Route du Mas Rillier,Rillieux-la-Pape,2010
Quai Jules Courmont,Lyon 2e Arrondissement,2020
Quai Arloing,Lyon 9e Arrondissement,2013
Avenue Maurice Thorez,Vénissieux,2009
Avenue Francis de Pressensé,Vénissieux,2012
LEA,Meyzieu,2006
Rue de la Caille,Lyon 3e Arrondissement,2019
Avenue Louis Armand,Saint-Germain-au-Mont-d'Or,0
Route de Genas,Villeurbanne,2021
Route de Chasse,Feyzin,0
Route de Sain Bel,Tassin-la-Demi-Lune,2001
Route de Brignais,Oullins,2021
Rue Hector Berlioz,Feyzin,2017
Rue de la Vilette,Lyon 3e Arrondissement,2006
Quai Perrache,Lyon 2e Arrondissement,2015
Boulevard Irène Joliot Curie,Vénissieux,2009
Promenade du Biezin,Décines-Charpieu,2015
Avenue Viviani,Vénissieux,2016
Rue Jean Jaurès,Villeurbanne,2017
Cours Vitton,Lyon 6e Arrondissement,2023
Square Georges Levy,Villeurbanne,2018
Avenue Franklin Roosevelt,Bron,0
Rd point Marcellin/Allende/De Gaulle,Vaulx-en-Velin,2013
Chemin du Recou,Grigny,2011
Place Charles Hernu,Villeurbanne,2011
Route de Strasbourg,Caluire-et-Cuire,2021
Rue Bourgchanin,Villeurbanne,2011
Rue du Vieux Port,Irigny,0
Pont Bonaparte,Lyon 2e Arrondissement,0
Avenue Gabriel Péri,Corbas,0
Passerelle de la Paix,Lyon 6e Arrondissement,2014
Avenue Rossellini,Villeurbanne,0
Rue Mortier,Lyon 3e Arrondissement,2012
Avenue Gabriel Peri,Corbas,0
Rue Francis de Pressensé,Villeurbanne,2000
Quai Pierre Sémard,La Mulatière,2019
Avenue du Point du Jour,Lyon 5e Arrondissement,2019
Place du Port Mouton,Lyon 9e Arrondissement,2013
Boulevard du 11 Novembre 1918,Villeurbanne,0
Avenue Henri Barbusse,Albigny-sur-Saône,0
Rue Bruyas,Décines-Charpieu,2014
Boulevard Pinel,Lyon 8e Arrondissement,2019
Pont Gallieni,Lyon 2e Arrondissement,2018
Boulevard Jean Mermoz,Corbas,2011
Chemin de Corcelles,Charly,2017
Avenue Général de Gaulle,Bron,0
Rue Jean-Sébastien Bach,Vénissieux,2020
Rue de l'Industrie,Saint-Priest,2014
Cours Lafayette,Lyon 3e Arrondissement,2016
Rue du 4 Aout 1789,Villeurbanne,2015
Avenue Gabriel Péri,Corbas,0
Rue des Combats du 24 Août 1944,Vénissieux,0
Avenue des Frères Lumière,Lyon 8e Arrondissement,2021
Cours Emile Zola,Villeurbanne,2011
Pont de la Mulatière,Lyon 2e Arrondissement,2015
Rue Garibaldi,Lyon 3e Arrondissement,0
Boulevard de la Croix-Rousse,Lyon 1er Arrondissement,2013
Avenue Edmond Locard,Oullins,2013
Rue Commandant Charcot,Lyon 5e Arrondissement,2020
Rue Constantine,Lyon 1er Arrondissement,2012
Route de Trévoux,Genay,2009
Route de Marennes,Corbas,2015
Chemin de Halage,Vaulx-en-Velin,2011
Esplanade du Grand Large,Décines-Charpieu,0
Route de Corbas,Vénissieux,2014
Quai Clémenceau,Caluire-et-Cuire,2014
Rd point Cachin/Vaulx,Vaulx-en-Velin,2013
Rue Challemel Lacour,Lyon 8e Arrondissement,2019
Avenue Anatole France,Givors,0
Rue Garibaldi,Lyon 3e Arrondissement,2020
Cours Charlemagne,Lyon 2e Arrondissement,2005
Avenue Jean Jaurès,Vénissieux,2011
Cours Lafayette,Lyon 6e Arrondissement,2017
Avenue Jacques Brel,Saint-Germain-au-Mont-d'Or,0
Avenue Jean Mermoz,Chassieu,2020
Chemin du Lortaret,Saint-Priest,2018
Rue Eugène Baudin,Lyon 9e Arrondissement,2014
Avenue Charles de Gaulle,Tassin-la-Demi-Lune,2011
Chemin de Peyssilieu,Meyzieu,2022
Rue Marcel Sembat,Saint-Fons,2018
Avenue Jacques Brel,Saint-Germain-au-Mont-d'Or,0
Rue Lionel Terray,Bron,0
Quai de l'Yzeron,La Mulatière,2020
Avenue de l'Europe,Lyon 8e Arrondissement,2014
