nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Rue Bourgelat;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;259,06;Zone 30;3098
Route de Brignais;Irigny;69100;;;Réseau secondaire;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;;2021;21,35;;6402
Rue du Cèdre;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2017;107,01;;3778
Rue Fleury;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;120,91;Arrêté n°PM19-16 du 07/06/2019 (Zone 30);5151
Rue Saint Jean;Villeurbanne;69266;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;229,84;Arrêté n°2022P0185-LP du 26/05/23;2126
Boulevard Jean Mermoz;Corbas;69273;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;388,42;;180
Rue de France;Villeurbanne;69266;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;380,98;;2871
Rue de Vauzelles;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;119,63;Zone 30;3033
CD 149;Corbas;69273;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);Vélo facultatif;;2009;1706,48;;610
Place Commandant Claude Bulard;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;24,85;;4547
Boulevard Pierre Sémard;Saint-Fons;69199;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole (ex-RD);Vélo facultatif;;;385,88;;1674
Rue de Cronstadt;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2022;211,91;;6696
Allée des Erables;Bron;69029;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sur chaussée;;;Métropole;Voie verte;;;78,07;;213
Rue Félissent;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OI DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2019;86,70;;5488
Rue Thomassin;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;104,34;Zone 30;3181
Rue Professeur Ranvier;Lyon 8e Arrondissement;69388;;;Réseau secondaire;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;165,44;;3547
Rue Croix-Barret;Lyon 8e Arrondissement;69388;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2012;110,82;;1882
Rue Jaboulay;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;629,06;;4595
Parc de Gerland;Lyon 7e Arrondissement;69387;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sans objet;;;Commune;Voie verte;;2015;268,05;;4343
Rue de Saint Cyr;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;112,81;;3754
Rue Paul Bert;Saint-Fons;69199;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;288,44;Arrêté n°UC 19/043 du 07/06/2019;4870
Rue du Docteur Long;Feyzin;69276;;;Réseau structurant et super structurant;PPI DGEEP VTP;Voie verte;;Sans objet;Double;Voie de circulation;Sans objet;;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2014;316,13;;2393
Rue Villeneuve;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;187,81;;3360
Boulevard Lucien Sampaix;Saint-Fons;69199;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;156,43;;2081
Liaison Terray/Bollaert;Bron;69029;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sur chaussée;;;Métropole (ex-RD);Voie verte;;;99,47;;202
