nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Carrefour des Sept Chemins;Décines-Charpieu;69275;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2021;9,24;Arrêté n°22-1708 du 10/05/2022;568
Rue Pierre Baratin;Villeurbanne;69266;;;Réseau structurant et super structurant;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;325,30;Arrêté n°2020P0173 le 10/12/20;5974
Rue du Moulin à Vent;Vénissieux;69259;;;Réseau structurant et super structurant;Sytral;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2019;65,88;Arrêtés n°2018RP35226 et n°2018RP35223 du 28/02/2020;5807
Avenue Jean Jaurès;Oullins;69149;;;Réseau structurant et super structurant;OI DIEM/STEP;Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;;2020;149,14;;5759
Voie Romaine;Craponne;69069;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;116,98;;322
Route de Grenoble;Saint-Priest;69290;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;;14,48;;6164
Avenue de Grande Bretagne;Lyon 6e Arrondissement;69386;;;Réseau structurant et super structurant;OI DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2018;138,72;Arrêté N°2018RP34508 du 20/06/2018;3923
Rue Masaryk;Lyon 9e Arrondissement;69389;;;Réseau structurant et super structurant;OI DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2014;237,14;Arrêtés N°2014RP30149 et N°2014RP30151 du 26/09/2014;2333
Passerelle Puisoz;Vénissieux;69259;;;Réseau structurant et super structurant;PPI (DMOU);Voie verte;;Sans objet;Double;Tunnel - Passerelle;Sans objet;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2019;312,46;Arrêté n°19012C du 03/04/2019;4742
Pont de la Guillotière;Lyon 7e Arrondissement;69387;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;1998;73,55;;6124
LEA;Décines-Charpieu;69275;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo obligatoire;;2006;400,60;;234
Rue Paul Duvivier;Lyon 7e Arrondissement;69387;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;;667,89;Arrêté n°2019RP35767 du 09/12/2019;722
Boulevard Charle de Gaulle;Décines-Charpieu;69275;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Voie de circulation;Sur trottoir;;;Métropole (ex-RD);Voie verte;;;508,95;;599
Rue Jacques Monod;Lyon 7e Arrondissement;69387;;;Réseau structurant et super structurant;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2016;115,54;Zone de rencontre;2918
Rue Marcel Mérieux;Corbas;69273;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2008;398,36;;1927
Route de Mions;Saint-Priest;69290;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;362,37;;5862
Avenue de l'Europe;Rillieux-la-Pape;69286;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2003;192,44;;272
Rue Denfert Rochereau;Lyon 4e Arrondissement;69384;;;Réseau secondaire;PPI DGEEP VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;;Zone 30;2005;31,21;;3726
Chemin de Saint Bonnet de Mure;Saint-Priest;69290;;;Réseau secondaire;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2019;1338,32;Arrêté n°A_2020_0300 le 19/05/20;5318
Avenue Paul Dailly;Sainte-Foy-lès-Lyon;69202;;;Réseau structurant et super structurant;PPI (DMOU);Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2021;443,67;Arrêté n°DDT_SST_69_2021_06_13 le 02/06/21;6193
Rue Edmond Rostand;Saint-Priest;69290;;;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;398,45;;651
Route de Brignais;Saint-Genis-Laval;69204;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);Vélo facultatif;;;409,54;;6161
Avenue Jean Jaurès;Oullins;69149;;;Réseau structurant et super structurant;OI DIEM/STEP;Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;;2019;443,22;Arrêté n°PM20-02 le 03/09/20;5369
Avenue Pierre Mendès France;Bron;69029;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);;;;238,84;;593
Promenade des Iles;Décines-Charpieu;69275;;;Réseau structurant et super structurant;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2010;438,57;;334
Rue de l'Ecoran;Couzon-au-Mont-d'Or;69068;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2021;65,00;Arrêté n°VN-2021-AP-001 le 19/10/21;6460
Rue Marcel Mérieux;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PPI (DMOU);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2021;108,28;;6494
Chemin des Moulins;Saint-Genis-Laval;69204;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2012;315,73;;824
Quai Romain Rolland;Lyon 5e Arrondissement;69385;;;Réseau structurant et super structurant;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;2013;189,82;Arrêté N°2016RP33275 du 30/11/2016;4033
Piste cyclable le long du Rhône;Solaize;69296;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Berges - Chemin de halage;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Vélo obligatoire;;;501,53;;2074
Axe Vert Campus de la Doua;Villeurbanne;69266;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Parc;Sans objet;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2014;476,16;;2255
Rue Juliette Recamier;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;107,81;Arrêté n°2021RP39779 le 15/12/21;6552
Place Bourgneuf;Lyon 9e Arrondissement;69389;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2017;137,23;;3473
ZAC des Maisons Neuves;Villeurbanne;69266;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2019;248,64;;4994
Avenue Jean Colomb;Marcy-l'Étoile;69127;;;Réseau secondaire;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;;2022;198,70;Arrêté n°2023/52 URBA-VOIRIE du 22/05/23;6591
Rue des Jonchères;Genay;69278;;;Réseau secondaire;;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2022;771,80;Arrêté 159/2022 du 02/11/2022;6722
Avenue de la Première Division Française Libre;Lyon 5e Arrondissement;69385;;;Réseau structurant et super structurant;OR DIEM/STEP;Couloir bus vélo non élargi;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2021;141,73;Arrêté n°2021RP39690 le 05/08/21;6354
LEA;Décines-Charpieu;69275;;;Réseau structurant et super structurant;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo obligatoire;;2006;700,61;;232
Rue du Bochu;Francheville;69089;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2021;600,82;Arrêté N°VOI-2021-166 du 06/09/2022;6403
Boulevard John-Fitzgerald Kennedy;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;2009;429,28;Arrêté n°PM21-04 le 12/03/21;629
Rue du Château des Marres;Jonage;69279;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Voie de circulation;Sur chaussée;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;;1101,58;;2605
Rue de l'Aviation;Saint-Priest;69290;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2014;1262,43;;2249
Rue Louis Pradel;Saint-Genis-les-Ollières;69205;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2013;186,20;;2056
Avenue du Carreau;Meyzieu;69282;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2011;367,28;;182
Boulevard du Général de Gaulle;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2017;143,27;;3458
Montée des Forts;Caluire-et-Cuire;69034;;;Réseau structurant et super structurant;PPI DGEEP VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2020;608,40;;5825
Allée de Ceinture;Lyon 6e Arrondissement;69386;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Parc;Sans objet;;;Commune;Voie verte;;2009;967,06;;2781
Rue Joséphine Soulary;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;162,29;;3342
Chemin Jean-Marie Vianney;Écully;69081;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;154,01;;6106
Chemin de la Brochetière;Dardilly;69072;;;Réseau de desserte;;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;;;2022;763,19;Arrêté N°400 - AR2022 du 24/08/2022;6689
Rue Fénelon;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;150,39;;4521
Passage sous M6/M7;Lyon 2e Arrondissement;69382;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Goulotte ou rampe;;Sans objet;Double;Tunnel - Passerelle;Sans objet;;;Métropole;Aire piétonne;;2018;39,45;;5594
Route départementale 51;Quincieux;69163;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2013;344,64;;2241
Avenue Georges Clémenceau;Saint-Genis-Laval;69204;Oullins;69149;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);Vélo facultatif;;2003;221,84;;592
Rue André Lassagne;Caluire-et-Cuire;69034;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2023;519,17;Arrêté N°1012 du 13/09/2022;6683
Rue Barrême;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;408,10;;5656
Rond-Point du Pérollier;Écully;69081;;;Réseau de desserte;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2020;142,91;Arrêté n°20-300P du 24/03/2020 // Pas de signalisation 30-10-2020 //;5839
Rue Collères;Corbas;69273;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;84,40;;5894
Chemin des Flaches;Irigny;69100;;;Réseau secondaire;PPI (DMOU);Voie verte;;Sans objet;Double;Voie de circulation;Sans objet;;;Métropole;Voie verte;;2018;374,52;;3957
Route de Trévoux;Neuville-sur-Saône;69143;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole (ex-RD);Voie verte;;2011;342,87;;740
Rue de la Convention;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;101,69;Arrêté n°PM19-16 du 07/06/2019 (Zone 30);5178
Promenade du Biezin;Décines-Charpieu;69275;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2015;336,99;Fermée les soirs de matchs (30 fois par an);2683
Rue de Darcieux;Saint-Genis-Laval;69204;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2007;55,47;;15
Boulevard des Belges;Lyon 6e Arrondissement;69386;;;Réseau structurant et super structurant;OI DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2017;459,17;Arrêté N°2017RP33461 du 04/04/2017;3450
Goulotte Piscine du Rhône;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OI DIEM/STEP;Goulotte ou rampe;;Sans objet;Sans Objet;Berges - Chemin de halage;Sans objet;;;Métropole;Sans objet;;2019;48,34;;4968
Rue des Allobroges;Corbas;69273;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;35,81;;5886
Routes d'Ecully et de Verdun;Dardilly;69072;;;Réseau secondaire;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;Zone 30;2008;508,67;Le  05/11/ 2020 //;3617
Rue Bugeaud;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;444,68;Arrêté n°2021RP39779 le 15/12/21;6547
Rue Guilloux;Saint-Genis-Laval;69204;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2004;422,39;;14
Rue Sala;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;106,43;Zone 30;3177
Rue Docteur Albéric Pont;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2018;404,42;Arrêté n°2019RP35563 du 24/04/2019;4326
Quai Rambaud;Lyon 2e Arrondissement;69382;;;Réseau structurant et super structurant;OR DIEM/STEP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Voie verte;;;2244,09;;505
Passage Etienne Dolet;Corbas;69273;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2009;122,24;Zone de rencontre;1694
Rue Jean-Sébastien Bach;Vénissieux;69259;;;Réseau de desserte;Autre MOA (Etat, Syndicat, ...);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2014;313,35;;2753
Rue du Dauphiné;Lyon 3e Arrondissement;69383;;;Réseau secondaire;OR DIEM/STEP;Couloir bus vélo non élargi;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;;436,28;;78
Rue Lieutenant André Gérard;Saint-Cyr-au-Mont-d'Or;69191;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2021;241,92;Arrêté n°52M/2021 le 16/06/21;6418
Rue de l'Egalité;Saint-Genis-Laval;69204;;;Réseau de desserte;;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2022;639,25;Arrêté N°2022-385 du 20/10/2022;6709
Boulevard Louis Pradel;Jonage;69279;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2011;201,47;;1539
Avenue de l'Europe;Rillieux-la-Pape;69286;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Parc;Sans objet;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2009;583,82;;154
Sans dénomination;Marcy-l'Étoile;69127;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;;140,48;;6155
Rue de Sèze;Lyon 6e Arrondissement;69386;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2018;882,62;Arrêté n°2018RP35077 du 06/12/2018;4296
Rue de la Mairie;Champagne-au-Mont-d'Or;69040;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;217,25;Arrêté n°2021/297 le 27/09/21. En travaux le 07/02/2022;6426
Avenue d'Ecully;Lyon 9e Arrondissement;69389;Champagne-au-Mont-d'Or;69040;Réseau structurant et super structurant;OR DIEM/STEP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;284,34;;125
Avenue de Verdun;Écully;69081;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2018;487,11;;4122
Avenue Lacassagne;Lyon 3e Arrondissement;69383;;;Réseau structurant et super structurant;OI DIEM/STEP;Couloir bus vélo élargi;Bande Cyclable;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2019;538,30;Arrêté n°2019RP35565 du 24/04/2019 et Arrêté n°2019RP35567 du 17/04/2019;4762
Rue Auguste Blanqui;Vaulx-en-Velin;69256;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;122,88;;3413
Rue Jean Gabin;Saint-Priest;69290;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2019;504,39;;5910
Rue du Prado;Fontaines-Saint-Martin;69087;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;144,21;Arrêté n°2-2021 le 16/06/21 // ABS de marquage au 09-03-22 //;6224
Rue de la Paix;Givors;69091;;;Réseau secondaire;Autre MOA (Etat, Syndicat, ...);Voie verte;;Sans objet;Double;Sans objet;Sur chaussée;;;Métropole;Voie verte;;2008;376,32;;645
Chemin de Grave;Saint-Cyr-au-Mont-d'Or;69191;;;Réseau de desserte;;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2022;671,78;Arrêté N°147M 2022 du 17/10/2022;6710
Route de Trévoux;Genay;69278;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole (ex-RD);Voie verte;;2011;213,84;;1500
Route de Villefranche;Curis-au-Mont-d'Or;69071;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);Vélo facultatif;;;46,77;;54
Rue Romain Rolland;Bron;69029;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo obligatoire;;;379,29;;191
Rue André Sentuc;Vénissieux;69259;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2016;996,48;;2751
Chemin du Trouillat;Écully;69081;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;;;;341,56;;487
Rue de la République;Neuville-sur-Saône;69143;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2018;243,26;;3906
Rue du 11 novembre;Saint-Genis-Laval;69204;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;251,98;Zone 30;2561
Montée Barthélémy;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2017;42,43;;3853
Avenue des Nations;Rillieux-la-Pape;69286;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2004;116,18;;384
